Submitted,formulary_name,Company,Company_other,Formulation,Formulation_other,AI_English,AI_English2,percentage,percentage2,Biocontrol,epa_id,FRAC1,frac_code,warning,Targetdiseases,disease_Suppress,targetdiseases_alt,agchem_rate_lo_nond,targetdiseases_other,Disease_Suppress_other,agchem_rate_hi_nond,agchem_rate_type,agchem_dilution_ratio,unit_of_application_alt,recommended_dose,rei,REI2,phi,PHI2,application_number,total_application,application_number2,total_application2,application_method,application_method_alt,price_estimate,Comments_Mizuho,Referencewebpage,labeldate,File,Page Title,FLabel,FSDS,Submitted Login,Submitted From
2017-07-19 17:37:27 +00:00,"Satori	",Loveland Products,,No descriptions,NA, Azoxystrobin,,22.9,,No,34704-1068,11,,Caution,"Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew",Botrytis,,10,,,15,lbs/acre,,,12.5,4,,14,,2,92.3,,,"Spray application (Air), Chemigation/irrigation",,1,,https://home.agrian.com/,9/4/2015,,Grape Fungicide Entry Form (US),Satori_Label.pdf,Satori_MSDS.pdf,,4.30.36.70
2017-05-18 15:29:07 +00:00,Aprovia,Syngenta Crop Protection,,Emulsifiable Concentrates (EC or E),NA, Benzovindiflupyr,,10.27,,No,100-1471,7,,"Caution, Danger","Alternaria, Angular leaf spot, Anthracnose, Black rot, Phomopsis (aka dead arm), Powdery mildew, Rotbrenner, Septoria, Other","Alternaria, Angular leaf spot, Anthracnose, Black rot, Phomopsis (aka dead arm), Powdery mildew, Rotbrenner, Septoria, Other",,8.6,Leaf Blight,,10.5,floz/acre,,,9.55,12,,21,,0,31.5,,,other,Ground,1,,http://Agrian.com,1/1/2016,,Grape Fungicide Entry Form (US),Aprovia_Label1.pdf,Aprovia_MSDS.pdf,,4.30.36.70
2017-06-21 16:49:47 +00:00,Pristine(R) Fungicide,BASF,,Water-Dispersible Granules or Dry Flowables (WDG or DF),NA, Boscalid,Pyraclostrobin,25.5,12.8,No,7969-199,11,7,Caution,Botrytis,,,18.5,,,23,oz/acre,,,21,12,,14,,3,0,,,Spray application (Air),,1,,https://home.agrian.com/,4/1/2015,,Grape Fungicide Entry Form (US),PristineR_Fungicide1t_Label.pdf,PristineR1_Fungicide_MSDS.pdf,,4.30.36.70
2017-11-29 16:18:27 +00:00,"DuPont Kocide 2000 Fungicide/Bactericide	",E. I. duPont de Numerous,,No descriptions,N/A, Copper Hydroxide,,53.8,,No,352-656,M1,,Caution,"Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew",,,1.5,,,3,lbs/acre,,,2.25,48,,0,,0,57.1,,,"Spray application (Air), Aerial",,1,,https://home.agrian.com/,1/14/2011,,Grape Fungicide Entry Form (US),DUPONT-KOCIDE-2000_Label.pdf,DuPont_Kocide1_2000_MSDS.pdf,,204.111.240.50
2017-11-21 15:51:45 +00:00,"ChampION++	",NuFarm Americas,,Granules (G),N/A, Copper Hydroxide,,46.1,,No,55146-115,M1,,Caution,"Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew",,,0.75,,,1.75,lbs/acre,,,1.25,48,,0,,0,66.7,,,"Spray application (Air), Chemigation/irrigation, Aerial",,1,,https://home.agrian.com/,1/8/2014,,Grape Fungicide Entry Form (US),ChampION_Label.pdf,ChampION_MSDS1f.pdf,,204.111.240.50
2017-06-22 16:04:23 +00:00,"Regalia	",Marrone Bio Innovartions,,Other,Liquid, Extract of Reynoutria sachalinensis,,5,,No,84059-3,P5,,Caution,"Botrytis, Downy mildew, Powdery mildew",,,1,,,4,qt/acre,,,2.5,4,,0,,0.1% v/v,0,,,other,foliar,1,,,10/10/2015,,Grape Fungicide Entry Form (US),Reason_500_SC_Fungicide_Label.pdf,Reason_500_SC1e_Fungicide_MSDS.pdf,,4.30.36.70
2017-12-01 17:11:21 +00:00,"Iprodione 4L AG	",Micro Flo Company,,No descriptions,N/A, Iprodione,,41.6,,No,51036-340,2,,Caution,Botrytis,,,1,,,2,pt/acre,,,1.5,48,,7,,4,0,,,"Spray application (Air), Aerial",,1,,https://home.agrian.com/,1/11/2006,,Grape Fungicide Entry Form (US),Iprodione-4L_Label.pdf,Iprodione_4l_MSDS.pdf,,204.111.240.50
2017-07-06 16:24:57 +00:00,Revus,Syngenta Crop Protection,,Other,Liquid Concentrate, Mandipropamid,,23.3,,No,100-1254,40,,Caution,Downy mildew,,,8,,,8,floz/acre,,,8,48,,14,,0,32,,,Spray application (Air),,1,,https://home.agrian.com/,9/11/2015,,Grape Fungicide Entry Form (US),Revus_Label.pdf,Revus_Top_MSDS.pdf,,4.30.36.70
2017-06-22 17:46:21 +00:00,Reliant,Quest Products,,Concentrate solutions (C or LC),NA, Mono- and di-potassium salts of Phosphorous Acid,,45.8,,No,83416-1,33,,Caution,Powdery mildew,Powdery mildew,,2,,,2.5,qt/acre,,,2.25,4,,0,,6,0,,,other,Foilar spray,1,,https://home.agrian.com/,9/13/2016,,Grape Fungicide Entry Form (US),Reliant_Label.pdf,Reliant_MSDS.pdf,,4.30.36.70
2017-06-22 17:46:12 +00:00,Reliant,Quest Products,,Concentrate solutions (C or LC),NA, Mono- and di-potassium salts of Phosphorous Acid,,45.8,,No,83416-1,33,,Caution,Armillaria,,,1.5,,,2,qt/acre,,,5,4,,0,,4,0,,,other,Foliar spray,1,,https://home.agrian.com/,9/13/2016,,Grape Fungicide Entry Form (US),Reliant_Label.pdf,Regalia1_MSDS.pdf,,4.30.36.70
