"Submitted","Product_name","Company","Company_other","Formulation","Formulation_other","AI_English","AI_English2","percentage","percentage2","Biocontrol","registration_number","FRAC","FRAC2","warning","Targetdiseases","disease_Suppress","targetdiseases_alt","lower_dose","targetdiseases_other","Disease_Suppress_other","higher_dose","Unitofapplication","unit_of_application_alt","recommended_dose","REI","REI2","PHI","PHI2","application_number","total_application","application_number2","total_application2","application_method","application_method_alt","Comments","price_estimate","Comments_Mizuho","Referencewebpage","labeldate","File","Page Title","FLabel","FSDS","Submitted Login","Submitted From",
"2018-02-10 14:01:08 +00:00","Intuity","Valent USA","","Other","liquid","Mandestrobin","","43.4","","No","59639-198","11","","Caution","Botrytis","Powdery mildew","","6","","","6","fl oz","","6","12","","10","","3","18","","","Spray application (Air)","","• Do not apply within 10 days of harvest.
• Do not apply
more than 18 fl oz (0.57 lb ai/A) per year.
• Do not make more than three applications per year.
• Do not make sequential applications of Intuity Fungicide or other FRAC Group 11 Fungicides.
• Do not apply at intervals of less than 20 days.
• Do not apply by air.
Precaution: Do not use on V. labrusca, V. labrusca hybrids and other non-vinifera hybrids where crop sen- sitivity is not known.","1","","","2017-01-01","","","PROLIVO_300SC_Label.pdf","PROLIVO_300SC_MSDS.pdf","","2601:5ce:4001:e661:39f6:3be5:7fde:ff23",
"2018-02-10 13:51:43 +00:00","Prolivo","Summit Agro USA","","Other","SC","Pyriofenone","","27.3","","No","71512-24-88783","U8","","Caution","Powdery mildew","","","16","","","16","fl oz","","16","4","","0","","0","0","","","Spray application (Air)","","","1","","","2017-05-10","","","PROLIVO_300SC_Label.pdf","PROLIVO_300SC_MSDS.pdf","","2601:5ce:4001:e661:39f6:3be5:7fde:ff23",
"2017-12-11 18:25:51 +00:00","Empress(TM) Intrinsic Brand Fungicide	","BASF","","Other","Suspension","Pyraclostrobin (carbamic acid, [2-[[[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy]methyl]","","23.3","","No","7969-355","11","","Warning","Fusarium, Other","","","1","Phytophthora","Pythium, Rhizoctonia","3","fl oz","","2","12","","N/A","","8","4.4 fl ozs per 1000 sqft/year","","","Soil application (drench)","","DO NOT apply more than 2 sequential applications of
Empress
 DO NOT apply to dry soil media. Applications
are best made when soil media has good moisture but
not saturated. 
DO NOT expose these Grape species or varieties to EmpressTM IntrinsicTM brand fungicide: Concord, Fredonia, Niagara, Noiret, (NY73.0136.17), Rougeon, Steuben and Worden.","1","","https://home.agrian.com/","2013-04-01","","Grape Fungicide Entry Form (US)","Empress_Label.pdf","Empress_MSDS.pdf","","204.111.240.50",
"2017-12-11 17:23:06 +00:00","Scala Brand SC Fungicide	","Bayer CropScience","","Other","Suspension","Pyrimethanil","","54.6","","No"," 264-788","9","","Caution","Botrytis","","","9","","","18","fl oz","","13.5","12","","7","","0","36","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2017-02-22","","Grape Fungicide Entry Form (US)","Scala_Brand_SC_Fungicide1g_Label.pdf","Scala_Brand_SC_Fungicide_MSDS.pdf","","204.111.240.50",
"2017-12-11 16:43:34 +00:00","Confine Extra	","Winfield Solutions","","Concentrate solutions (C or LC)","N/A","Mono- and di-potassium salts of Phosphorous Acid","","53","","No","1381-244","33","","Caution","Fusarium, Other","","","1","Phytophthora","Pythium","3","qt","","2","4","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial, other","Root Dip, Trunk Injection","For Foliar:minimum of 100 gallons of water/acre
For Aerial Application minimum of 10 gallons of water/acre
Root Dip:2 qt/100 gallon of water
Irrigation 2-4 qt. in at lease 100 gallon of water
Trunk Injection: 3teaspoons/linear yard of canopy with or 2 inch of trunk diameter at breast height.

","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Confine-Extra_Label.pdf","Confine_Extra_MSDS1r.pdf","","204.111.240.50",
"2017-12-11 16:42:49 +00:00","CS 2005	","Magna-Bon II","","Concentrate solutions (C or LC)","N/A","Copper sulfate pentahydrate","","19.8","","No","66675-3","M1","","Danger","Downy mildew, Powdery mildew, Other","","","19.2","Brown Rot","","32","oz","","25","48","","15","","0","20","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2017-07-11","","Grape Fungicide Entry Form (US)","CS_2005_Label1o.pdf","CS_2005_MSDS1o.pdf","","204.111.240.50",
"2017-12-11 16:31:02 +00:00","Bionatrol-M	","NTS America","","No descriptions","N/A","Soybean Oil","","45","","No","N/A","NC","","Caution","Botrytis, Powdery mildew","","","43","","","45","fl oz","","44","0","","0","","0","0","","","Spray application (Air)","","*Do not apply any copper, sulfur, and others within 12 days of Bionatrol-M application.
*Do not spray when freezing temperatures are anticipated within 48 hours and do not apply above 95o F.
*Do not mix with foliar fertilizers.","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Bionatrol-M_Label1.pdf","Bionatrol-M_MSDS.pdf","","204.111.240.50",
"2017-12-11 16:24:32 +00:00","AZteroid 1.65 SC	","Vive Crop Protection","","Flowables (F or L)","N/A","Azoxystrobin: methyl (E)-2-{2-[6-(2-cyanophenoxy)  pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate ","","18.4","","No","89118-3","11","","Caution","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","Botrytis","","12.6","","","19.5","lb","","16","4","","0","","0","77.5","","","Spray application (Air), Chemigation/irrigation, Aerial","","Do not exceed 1.0 lb a.i. azoxystrobin per acre per year.","1","","https://home.agrian.com/","2016-01-06","","Grape Fungicide Entry Form (US)","AZteroid_1.65_SC1a_Label.pdf","AZteroid_1.65_SC1a_MSDS.pdf","","204.111.240.50",
"2017-12-11 16:18:28 +00:00","Confine Extra	","Winfield Solutions","","Concentrate solutions (C or LC)","N/A","Mono- and di-potassium salts of Phosphorous Acid","","53","","No","1381-244","33","","Caution","Downy mildew, Powdery mildew","","","1","","","3","qt","","2","4","","0","","0","0","","","Spray application (Air)","","For Foliar:minimum of 100 gallons of water/acre
For Aerial Application minimum of 10 gallons of water/acre","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Confine-Extra_Label.pdf","Confine_Extra_MSDS1r.pdf","","204.111.240.50",
"2017-12-11 15:54:54 +00:00","Teb 45DF	","Willowood","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Tebuconazole","","45","","No","87290-12","3","","Warning","Black rot, Powdery mildew","Botrytis","","4","","","4","oz","","4","12","","14","","0","2 lb","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2016-09-14","","Grape Fungicide Entry Form (US)","Teb_45DF1u_Label.pdf","Teb_45DF_MSDS.pdf","","204.111.240.50",
