Variety	Hc_initial	Hc_min	Hc_max	T_threshold_endo	T_threshold_eco	Ecodormancy_boundary	Acclimation_rate_endo	Acclimation_rate_eco	Deacclimation_rate_endo	Deacclimation_rate_eco	Theta
Barbera	-10.1	-1.2	-23.5	15.0	3.0	-700	0.06	0.02	0.10	0.08	7
Cabernet franc	-9.9	-1.2	-25.4	13.0	4.0	-500	0.12	0.10	0.04	0.10	7
Cabernet Sauvignon	-10.3	-1.2	-25.1	13.0	5.0	-700	0.12	0.10	0.08	0.10	7
Chardonnay	-11.8	-1.2	-25.7	14.0	3.0	-600	0.10	0.02	0.10	0.08	7
Chenin blanc	-12.1	-1.2	-24.1	14.0	4.0	-700	0.10	0.02	0.04	0.10	7
Concord	-12.8	-2.5	-29.5	13.0	3.0	-600	0.12	0.10	0.02	0.10	3
Dolcetto	-10.1	-1.2	-23.2	12.0	4.0	-600	0.16	0.10	0.10	0.12	3
Gewürztraminer	-11.6	-1.2	-24.9	13.0	6.0	-400	0.12	0.02	0.06	0.18	5
Grenache	-10.0	-1.2	-22.7	12.0	3.0	-500	0.16	0.10	0.02	0.06	5
Lemberger	-13.0	-1.2	-25.6	13.0	5.0	-800	0.10	0.10	0.02	0.18	7
Malbec	-11.5	-1.2	-25.1	14.0	4.0	-400	0.10	0.08	0.06	0.08	7
Merlot	-10.3	-1.2	-25.0	13.0	5.0	-500	0.10	0.02	0.04	0.10	7
Mourvèdre	-9.5	-1.2	-22.1	13.0	6.0	-600	0.12	0.06	0.08	0.14	5
Nebbiolo	-11.1	-1.2	-24.4	11.0	3.0	-700	0.16	0.02	0.02	0.10	3
Pinot gris	-12.0	-1.2	-24.1	13.0	6.0	-400	0.12	0.02	0.02	0.20	3
Riesling	-12.6	-1.2	-26.1	12.0	5.0	-700	0.14	0.10	0.02	0.12	7
Sangiovese	-10.7	-1.2	-21.9	11.0	3.0	-700	0.14	0.02	0.02	0.06	7
Sauvignon blanc	-10.6	-1.2	-24.9	14.0	5.0	-300	0.08	0.10	0.06	0.12	7
Sémillon	-10.4	-1.2	-22.4	13.0	7.0	-300	0.10	0.02	0.08	0.20	5
Sunbelt	-11.8	-2.5	-29.1	14.0	3.0	-400	0.10	0.10	0.06	0.12	1.5
Syrah	-10.3	-1.2	-24.2	14.0	4.0	-700	0.08	0.04	0.06	0.08	7
Viognier	-11.2	-1.2	-24.0	14.0	5.0	-300	0.10	0.10	0.08	0.10	7
Zinfandel	-10.4	-1.2	-24.4	12.0	3.0	-500	0.16	0.10	0.02	0.06	7
